#, movie, href, release date, gross
"220", "National Treasure (Disney)", "/statistics/movies/national-treasure-2004", "Nov 19, 2004", "$173,008,217"
"221", "Air Force One (Sony / Columbia)", "/statistics/movies/air-force-one-1997", "Jul 25, 1997", "$172,956,394"
"222", "Rain Man (MGM/UA)", "/statistics/movies/rain-man-1988", "Dec 16, 1988", "$172,825,476"
"223", "TRON: Legacy (Disney)", "/statistics/movies/tron-legacy-2010", "Dec 17, 2010", "$172,062,763"
"224", "The Matrix (Warner Bros.)", "/statistics/movies/the-matrix-1999", "Mar 31, 1999", "$171,479,060"
"225", "Tarzan (1999) (Disney)", "/statistics/movies/tarzan-1999", "Jun 16, 1999", "$171,091,147"
"226", "True Grit (2010) (Paramount)", "/statistics/movies/true-grit-2010", "Dec 22, 2010", "$171,050,328"
"227", "A Beautiful Mind (Universal)", "/statistics/movies/a-beautiful-mind-2001", "Dec 21, 2001", "$170,742,924"
"228", "Chicago (Miramax)", "/statistics/movies/chicago-2002", "Dec 27, 2002", "$170,687,336"
"229", "The Help (Disney / DreamWorks)", "/statistics/movies/the-help-2011", "Aug 10, 2011", "$169,708,112"
"230", "Bridesmaids (Universal)", "/statistics/movies/untitled-kristen-wiig-project-2011", "May 13, 2011", "$169,106,725"
"231", "Quantum of Solace (Sony / Columbia)", "/statistics/movies/quantum-of-solace-2008", "Nov 14, 2008", "$168,365,396"
"232", "Wild Hogs (Disney)", "/statistics/movies/wild-hogs-2007", "Mar 02, 2007", "$168,273,303"
"233", "Three Men and a Baby (Disney)", "/statistics/movies/three-men-and-a-baby-1987", "Nov 25, 1987", "$167,780,861"
"234", "Gone Girl (Fox)", "/statistics/movies/gone-girl-2014", "Oct 03, 2014", "$167,767,189"
"235", "Casino Royale (2006) (Sony / Columbia)", "/statistics/movies/casino-royale-2006", "Nov 17, 2006", "$167,445,579"
"236", "Meet the Parents (Universal)", "/statistics/movies/meet-the-parents-2000", "Oct 06, 2000", "$166,244,845"
"237", "Fifty Shades of Grey (Universal / Focus)", "/statistics/movies/fifty-shades-of-grey-2014", "Feb 13, 2015", "$166,167,230"
"238", "2012 (Sony / Columbia)", "/statistics/movies/2012-2009", "Nov 13, 2009", "$166,166,781"
"239", "Robin Hood: Prince of Thieves (Warner Bros.)", "/statistics/movies/robin-hood-prince-of-thieves-1991", "Jun 14, 1991", "$165,493,447"
"240", "Kung Fu Panda 2 (Paramount / DreamWorks)", "/statistics/movies/kung-fu-panda-the-kaboom-of-doom-2011", "May 26, 2011", "$165,249,063"
"241", "Hannibal (MGM)", "/statistics/movies/hannibal-2001", "Feb 09, 2001", "$165,092,013"
"242", "Catch Me If You Can (2002) (DreamWorks)", "/statistics/movies/catch-me-if-you-can-2002", "Dec 25, 2002", "$164,615,455"
"243", "The Proposal (Disney)", "/statistics/movies/the-proposal-2009", "Jun 19, 2009", "$163,950,545"
"244", "The Pursuit of Happyness (Sony / Columbia)", "/statistics/movies/the-pursuit-of-happyness-2006", "Dec 15, 2006", "$163,566,344"
"245", "Big Daddy (Sony / Columbia)", "/statistics/movies/big-daddy-1999", "Jun 25, 1999", "$163,479,811"
"246", "Clash of the Titans (2010) (Warner Bros.)", "/statistics/movies/clash-of-the-titans-2010-2010", "Apr 02, 2010", "$163,214,888"
"247", "The Sound of Music (Fox)", "/statistics/movies/the-sound-of-music-1965", "Mar 02, 1965", "$163,214,076"
"248", "The SpongeBob Movie: Sponge Out of Water (Paramount)", "/statistics/movies/spongebob-squarepants-2-2015", "Feb 06, 2015", "$162,994,032"
"249", "Batman Returns (Warner Bros.)", "/statistics/movies/batman-returns-1992", "Jun 19, 1992", "$162,831,945"
"250", "Django Unchained (Weinstein Company)", "/statistics/movies/django-unchained-2012", "Dec 25, 2012", "$162,805,434"
"251", "A Bug's Life (Disney)", "/statistics/movies/a-bug-s-life-1998", "Nov 20, 1998", "$162,798,279"
"252", "Grown Ups (Sony / Columbia)", "/statistics/movies/grown-ups-2010", "Jun 25, 2010", "$162,001,186"
"253", "The Waterboy (Disney)", "/statistics/movies/the-waterboy-1998", "Nov 06, 1998", "$161,491,939"
"254", "Ice Age: Continental Drift (Fox)", "/statistics/movies/ice-age-continental-drift-2012", "Jul 13, 2012", "$161,321,843"
"255", "Die Another Day (MGM)", "/statistics/movies/die-another-day-2002", "Nov 22, 2002", "$160,942,810"
"256", "Shark Tale (DreamWorks)", "/statistics/movies/shark-tale-2004", "Oct 01, 2004", "$160,861,093"
"257", "The Sting (Universal)", "/statistics/movies/the-sting-1973", "Dec 25, 1973", "$159,616,911"
"258", "The Heat (Fox)", "/statistics/movies/sandra-bullockmelissa-mccarthy-comedy-2013", "Jun 28, 2013", "$159,582,188"
"259", "The Firm (Paramount)", "/statistics/movies/the-firm-1993", "Jul 02, 1993", "$158,369,885"
"260", "The Longest Yard (2005) (Paramount)", "/statistics/movies/the-longest-yard-2005", "May 27, 2005", "$158,119,106"
"261", "X-Men (Fox)", "/statistics/movies/x-men-2000", "Jul 14, 2000", "$157,299,255"
"262", "Scary Movie (Miramax / Dimension)", "/statistics/movies/scary-movie-2000", "Jul 07, 2000", "$157,019,603"
"263", "Fatal Attraction (Paramount)", "/statistics/movies/fatal-attraction-1987", "Sep 18, 1987", "$156,645,905"
"264", "What Lies Beneath (DreamWorks)", "/statistics/movies/what-lies-beneath-2000", "Jul 21, 2000", "$155,460,041"
"265", "The Mummy (1999) (Universal)", "/statistics/movies/the-mummy-1999", "May 07, 1999", "$155,385,085"
"266", "Fast & Furious (Universal)", "/statistics/movies/fast-and-furious-2009", "Apr 03, 2009", "$155,152,236"
"267", "Snow White and the Huntsman (Universal)", "/statistics/movies/snow-white-and-the-huntsman-2012", "Jun 01, 2012", "$155,136,755"
"268", "Over the Hedge (Paramount / DreamWorks)", "/statistics/movies/over-the-hedge-2006", "May 19, 2006", "$155,019,902"
"269", "Fantastic Four (2005) (Fox)", "/statistics/movies/fantastic-four-2005", "Jul 08, 2005", "$154,696,660"
"270", "Dr. Seuss' Horton Hears a Who! (Fox)", "/statistics/movies/dr-seuss-horton-hears-a-who-2008", "Mar 14, 2008", "$154,529,598"
"271", "Who Framed Roger Rabbit (Disney)", "/statistics/movies/who-framed-roger-rabbit-1988", "Jun 22, 1988", "$154,112,403"
"272", "Jerry Maguire (Sony / TriStar)", "/statistics/movies/jerry-maguire-1996", "Dec 13, 1996", "$153,962,324"
"273", "Beverly Hills Cop II (Paramount)", "/statistics/movies/beverly-hills-cop-ii-1987", "May 20, 1987", "$153,665,069"
"274", "Scooby-Doo (Warner Bros.)", "/statistics/movies/scooby-doo-2002", "Jun 14, 2002", "$153,294,080"
"275", "Gremlins (Warner Bros.)", "/statistics/movies/gremlins-1984", "Jun 08, 1984", "$153,083,972"
"276", "Sex and the City (Warner Bros. / New Line)", "/statistics/movies/sex-and-the-city-2008", "May 30, 2008", "$152,647,295"
"277", "Runaway Bride (Paramount)", "/statistics/movies/runaway-bride-1999", "Jul 30, 1999", "$152,257,160"
"278", "San Andreas (Warner Bros. / New Line)", "/statistics/movies/san-andreas-2015", "May 29, 2015", "$151,551,731"
"279", "Mad Max: Fury Road (Warner Bros.)", "/statistics/movies/mad-max-fury-road-2015", "May 15, 2015", "$151,204,106"
"280", "Divergent (Lionsgate / Summit)", "/statistics/movies/divergent-2014", "Mar 21, 2014", "$150,947,895"
"281", "Rambo: First Blood Part II (TriStar)", "/statistics/movies/rambo-first-blood-part-ii-1985", "May 22, 1985", "$150,415,193"
"282", "We're the Millers (Warner Bros. / New Line)", "/statistics/movies/were-the-millers-2013", "Aug 07, 2013", "$150,394,119"
"283", "Terminator 3: Rise of the Machines (Warner Bros.)", "/statistics/movies/terminator-3-rise-of-the-machines-2003", "Jul 02, 2003", "$150,371,148"
"284", "G.I. Joe: The Rise of Cobra (Paramount)", "/statistics/movies/g-i-joe-the-rise-of-cobra-2009", "Aug 07, 2009", "$150,201,919"
"285", "Neighbors (2014) (Universal)", "/statistics/movies/townies-2014", "May 09, 2014", "$150,157,400"
"286", "American Hustle (Sony / Columbia)", "/statistics/movies/untitled-david-o-russell-film-2013", "Dec 13, 2013", "$150,117,807"
"287", "Puss in Boots (2011) (Paramount / DreamWorks)", "/statistics/movies/puss-in-boots-working-title-2011", "Oct 28, 2011", "$149,260,504"
"288", "Les Miserables (2012) (Universal)", "/statistics/movies/les-miserables-2012-2012", "Dec 25, 2012", "$148,809,770"
"289", "Knocked Up (Universal)", "/statistics/movies/knocked-up-2007", "Jun 01, 2007", "$148,768,421"
"290", "As Good as It Gets (Sony / TriStar)", "/statistics/movies/as-good-as-it-gets-1997", "Dec 23, 1997", "$148,478,260"
"291", "Little Fockers (Universal)", "/statistics/movies/meet-the-fockers-sequel-2010", "Dec 22, 2010", "$148,438,600"
"292", "Megamind (Paramount / DreamWorks)", "/statistics/movies/oobermind-2010", "Nov 05, 2010", "$148,415,853"
"293", "Hotel Transylvania (Sony / Columbia)", "/statistics/movies/hotel-transylvania-in-3d-2011", "Sep 28, 2012", "$148,313,048"
"294", "Talladega Nights: The Ballad of Ricky Bobby (Sony / Columbia)", "/statistics/movies/talladega-nights-the-ballad-of-ricky-bobby-2006", "Aug 04, 2006", "$148,213,093"
"295", "Gran Torino (Warner Bros.)", "/statistics/movies/gran-torino-2008", "Dec 12, 2008", "$148,095,382"
"296", "Lethal Weapon 2 (Warner Bros.)", "/statistics/movies/lethal-weapon-2-1989", "Jul 07, 1989", "$147,307,168"
"297", "X-Men: First Class (Fox)", "/statistics/movies/x-men-first-class-2011", "Jun 03, 2011", "$146,408,305"
"298", "Paul Blart: Mall Cop (Sony / Columbia)", "/statistics/movies/paul-blart-mall-cop-2009", "Jan 16, 2009", "$146,336,624"
"299", "True Lies (Fox)", "/statistics/movies/true-lies-1994", "Jul 15, 1994", "$146,282,462"
"300", "Lilo & Stitch (Disney)", "/statistics/movies/lilo-stitch-2002", "Jun 21, 2002", "$145,783,422"
"301", "American Pie 2 (Universal)", "/statistics/movies/american-pie-2-2001", "Aug 10, 2001", "$145,103,924"
"302", "Taken (Fox)", "/statistics/movies/taken-2009", "Jan 30, 2009", "$145,000,403"
"303", "101 Dalmatians (1961) (Disney)", "/statistics/movies/101-dalmatians-1961", "Jan 25, 1961", "$144,880,212"
"304", "The Great Gatsby (2013) (Warner Bros.)", "/statistics/movies/the-great-gatsby-2012-2012", "May 10, 2013", "$144,840,419"
"305", "The Santa Clause (Disney)", "/statistics/movies/the-santa-clause-1994", "Nov 11, 1994", "$144,833,975"
"306", "I, Robot (Fox)", "/statistics/movies/i-robot-2004", "Jul 16, 2004", "$144,795,113"
"307", "Lethal Weapon 3 (Warner Bros.)", "/statistics/movies/lethal-weapon-3-1992", "May 15, 1992", "$144,731,292"
"308", "The Fast and the Furious (Universal)", "/statistics/movies/the-fast-and-the-furious-2001", "Jun 22, 2001", "$144,533,907"
"309", "Doctor Dolittle (1998) (Fox)", "/statistics/movies/doctor-dolittle-1998", "Jun 26, 1998", "$144,156,756"
"310", "Mamma Mia! (Universal)", "/statistics/movies/mamma-mia-2008", "Jul 18, 2008", "$144,130,725"
"311", "Rio (2011) (Fox)", "/statistics/movies/rio-2011", "Apr 15, 2011", "$143,619,809"
"312", "Juno (Fox Searchlight)", "/statistics/movies/juno-2007", "Dec 05, 2007", "$143,495,248"
"313", "Marley & Me (Fox)", "/statistics/movies/marley-and-me-2008", "Dec 25, 2008", "$143,153,015"
"314", "The Smurfs (Sony / Columbia)", "/statistics/movies/the-smurfs-2011", "Jul 29, 2011", "$142,614,158"
"315", "XXX (Sony / Columbia)", "/statistics/movies/xxx-2002", "Aug 09, 2002", "$142,109,000"
"316", "The Chronicles of Narnia: Prince Caspian (Disney)", "/statistics/movies/the-chronicles-of-narnia-prince-caspian-2008", "May 16, 2008", "$141,621,918"
"317", "National Lampoon's Animal House (Universal)", "/statistics/movies/national-lampoon-s-animal-house-1978", "Jul 28, 1978", "$141,600,129"
"318", "Pocahontas (Disney)", "/statistics/movies/pocahontas-1995", "Jun 16, 1995", "$141,579,941"
"319", "A Few Good Men (Columbia)", "/statistics/movies/a-few-good-men-1992", "Dec 11, 1992", "$141,340,483"
"320", "Slumdog Millionaire (Fox Searchlight)", "/statistics/movies/slumdog-millionaire-2008", "Nov 12, 2008", "$141,319,441"
"321", "Rush Hour (New Line)", "/statistics/movies/rush-hour-1998", "Sep 18, 1998", "$141,186,224"
"322", "The Blair Witch Project (Artisan)", "/statistics/movies/the-blair-witch-project-1999", "Jul 14, 1999", "$140,539,251"
"323", "Deep Impact (Paramount)", "/statistics/movies/deep-impact-1998", "May 08, 1998", "$140,464,310"
"324", "Rush Hour 3 (New Line)", "/statistics/movies/rush-hour-3-2007", "Aug 10, 2007", "$140,125,005"
"325", "Look Who's Talking (TriStar)", "/statistics/movies/look-who-s-talking-1989", "Oct 13, 1989", "$140,088,166"
"326", "Stuart Little (Sony / Columbia)", "/statistics/movies/stuart-little-1999", "Dec 17, 1999", "$140,035,011"
"327", "The Rocky Horror Picture Show (Fox)", "/statistics/movies/the-rocky-horror-picture-show-1975", "Sep 26, 1975", "$139,876,106"
"328", "Taken 2 (Fox)", "/statistics/movies/taken-2-2013", "Oct 05, 2012", "$139,854,287"
"329", "Sister Act (Disney)", "/statistics/movies/sister-act-1992", "May 29, 1992", "$139,605,188"
"330", "The Matrix Revolutions (Warner Bros.)", "/statistics/movies/the-matrix-revolutions-2003", "Nov 05, 2003", "$139,313,424"
"331", "The Santa Clause 2 (Disney)", "/statistics/movies/the-santa-clause-2-2002", "Nov 01, 2002", "$139,236,262"
"332", "The King's Speech (Weinstein Company)", "/statistics/movies/the-kings-speech-2010", "Nov 26, 2010", "$138,797,449"
"333", "Cheaper by the Dozen (Fox)", "/statistics/movies/cheaper-by-the-dozen-2003", "Dec 25, 2003", "$138,614,076"
"334", "Bad Boys II (Sony / Columbia)", "/statistics/movies/bad-boys-ii-2003", "Jul 18, 2003", "$138,608,489"
"335", "Platoon (Orion)", "/statistics/movies/platoon-1986", "Dec 19, 1986", "$138,530,553"
"336", "21 Jump Street (Sony / Columbia)", "/statistics/movies/21-jump-street-2012", "Mar 16, 2012", "$138,447,667"
"337", "Good Will Hunting (Miramax)", "/statistics/movies/good-will-hunting-1997", "Dec 05, 1997", "$138,433,880"
"338", "Star Wars: Special Edition (Fox)", "/statistics/movies/star-wars-special-edition-1997", "Jan 31, 1997", "$138,257,865"
"339", "Disney's A Christmas Carol (Disney)", "/statistics/movies/a-christmas-carol-2009-2009", "Nov 06, 2009", "$137,785,051"
"340", "Dinosaur (Disney)", "/statistics/movies/dinosaur-2000", "May 19, 2000", "$137,748,601"
"341", "The Conjuring (Warner Bros. / New Line)", "/statistics/movies/the-conjuring-2013", "Jul 19, 2013", "$137,395,174"
"342", "Click (Sony / Columbia)", "/statistics/movies/click-2006", "Jun 23, 2006", "$137,355,347"
"343", "The Green Mile (Warner Bros.)", "/statistics/movies/the-green-mile-1999", "Dec 10, 1999", "$136,801,509"
"344", "Ransom (Disney)", "/statistics/movies/ransom-1996", "Nov 08, 1996", "$136,492,894"
"345", "Godzilla (1998) (Sony / TriStar)", "/statistics/movies/godzilla-1998", "May 20, 1998", "$136,314,861"
"346", "101 Dalmatians (1996) (Disney)", "/statistics/movies/101-dalmatians-1996-1996", "Nov 27, 1996", "$136,189,436"
"347", "Argo (Warner Bros.)", "/statistics/movies/argo-2012", "Oct 12, 2012", "$136,025,503"
"348", "Anger Management (Sony / Columbia)", "/statistics/movies/anger-management-2003", "Apr 11, 2003", "$135,645,721"
"349", "The Jungle Book (1967) (Disney)", "/statistics/movies/the-jungle-book-1967", "Oct 18, 1967", "$135,475,744"
"350", "Chicken Little (Disney)", "/statistics/movies/chicken-little-2005", "Nov 04, 2005", "$135,386,342"
"351", "Teenage Mutant Ninja Turtles (1990) (New Line)", "/statistics/movies/teenage-mutant-ninja-turtles-1990", "Mar 30, 1990", "$135,265,256"
"352", "Patch Adams (Universal)", "/statistics/movies/patch-adams-1998", "Dec 25, 1998", "$135,026,722"
"353", "The Godfather (Paramount)", "/statistics/movies/the-godfather-1972", "Mar 15, 1972", "$134,966,044"
"354", "Ride Along (Universal)", "/statistics/movies/ride-along-2014", "Jan 17, 2014", "$134,938,200"
"355", "The Incredible Hulk (Universal)", "/statistics/movies/the-incredible-hulk-2008", "Jun 13, 2008", "$134,806,396"
"356", "Live Free or Die Hard (Fox)", "/statistics/movies/live-free-or-die-hard-2007", "Jun 27, 2007", "$134,529,431"
"357", "Wanted (2008) (Universal)", "/statistics/movies/wanted-2008", "Jun 27, 2008", "$134,508,730"
"358", "Identity Thief (Universal)", "/statistics/movies/identity-thief-2013", "Feb 08, 2013", "$134,506,920"
"359", "The Rock (Disney)", "/statistics/movies/the-rock-1996", "Jun 07, 1996", "$134,069,199"
"360", "Mission: Impossible III (Paramount)", "/statistics/movies/mission-impossible-iii-2006", "May 05, 2006", "$134,029,548"
"361", "Grown Ups 2 (Sony / Columbia)", "/statistics/movies/grown-ups-2-2013", "Jul 12, 2013", "$133,668,525"
"362", "Angels & Demons (Sony / Columbia)", "/statistics/movies/angels-demons-2009", "May 15, 2009", "$133,378,559"
"363", "Troy (Warner Bros.)", "/statistics/movies/troy-2004", "May 14, 2004", "$133,378,121"
"364", "Alvin and the Chipmunks: Chipwrecked (Fox)", "/statistics/movies/alvin-and-the-chipmunks-3d-2011", "Dec 16, 2011", "$133,110,742"
"365", "Bringing Down the House (Disney)", "/statistics/movies/bringing-down-the-house-2003", "Mar 07, 2003", "$132,716,668"
"366", "The Wolverine (Fox)", "/statistics/movies/the-wolverine-2013", "Jul 26, 2013", "$132,556,852"
"367", "The Departed (Warner Bros.)", "/statistics/movies/the-departed-2006", "Oct 06, 2006", "$132,384,480"
"368", "Hulk (Universal)", "/statistics/movies/hulk-2003", "Jun 20, 2003", "$132,175,930"
"369", "Silver Linings Playbook (Weinstein Company)", "/statistics/movies/the-silver-linings-playbook-2012", "Nov 16, 2012", "$132,092,958"
"370", "Close Encounters of the Third Kind (Columbia)", "/statistics/movies/close-encounters-of-the-third-kind-1977", "Nov 16, 1977", "$132,088,195"
"371", "Minority Report (Fox)", "/statistics/movies/minority-report-2002", "Jun 21, 2002", "$132,072,987"
"372", "Fantastic Four: Rise of the Silver Surfer (Fox)", "/statistics/movies/fantastic-four-rise-of-the-silver-surfer-2007", "Jun 15, 2007", "$131,921,992"
"373", "The Last Airbender (Paramount)", "/statistics/movies/the-last-airbender-2010", "Jul 01, 2010", "$131,601,062"
"374", "Rio 2 (Fox)", "/statistics/movies/rio-2-2014", "Apr 11, 2014", "$131,538,435"
"375", "Lara Croft, Tomb Raider (Paramount)", "/statistics/movies/lara-croft-tomb-raider-2001", "Jun 15, 2001", "$131,168,071"
"376", "The Silence of the Lambs (Orion)", "/statistics/movies/the-silence-of-the-lambs-1991", "Feb 14, 1991", "$130,742,537"
"377", "Honey, I Shrunk the Kids (Disney)", "/statistics/movies/honey-i-shrunk-the-kids-1989", "Jun 23, 1989", "$130,724,390"
"378", "The Flintstones (Universal)", "/statistics/movies/the-flintstones-1994", "May 27, 1994", "$130,560,663"
"379", "Lethal Weapon 4 (Warner Bros.)", "/statistics/movies/lethal-weapon-4-1998", "Jul 10, 1998", "$130,444,242"
"380", "Get Smart (Warner Bros.)", "/statistics/movies/get-smart-2008", "Jun 20, 2008", "$130,319,504"
"381", "The Divergent Series: Insurgent (Lionsgate / Summit)", "/statistics/movies/insurgent-2015", "Mar 20, 2015", "$130,179,072"
"382", "American Gangster (Universal)", "/statistics/movies/american-gangster-2007", "Nov 02, 2007", "$130,164,472"
"383", "American Beauty (DreamWorks)", "/statistics/movies/american-beauty-1999", "Sep 15, 1999", "$130,096,097"
"384", "An Officer and a Gentleman (Paramount)", "/statistics/movies/an-officer-and-a-gentleman-1982", "Jul 28, 1982", "$129,795,263"
"385", "The Ring (DreamWorks)", "/statistics/movies/the-ring-2002", "Oct 18, 2002", "$129,128,681"
"386", "The Nutty Professor (1996) (Universal)", "/statistics/movies/the-nutty-professor-1996-1996", "Jun 28, 1996", "$128,814,458"
"387", "Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (Fox)", "/statistics/movies/borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan-2006", "Nov 03, 2006", "$128,505,664"
"388", "Kingsman: The Secret Service (Fox)", "/statistics/movies/the-secret-service-2014", "Feb 13, 2015", "$128,261,724"
"389", "Robots (Fox)", "/statistics/movies/robots-2005", "Mar 11, 2005", "$128,200,217"
"390", "Coming to America (Paramount)", "/statistics/movies/coming-to-america-1988", "Jun 29, 1988", "$128,152,468"
"391", "Crouching Tiger, Hidden Dragon (Sony Pictures Classics)", "/statistics/movies/crouching-tiger-hidden-dragon-2000", "Dec 08, 2000", "$128,078,605"
"392", "Shutter Island (Paramount)", "/statistics/movies/shutter-island-2010", "Feb 19, 2010", "$128,012,934"
"393", "Into the Woods (Disney)", "/statistics/movies/into-the-woods-2014", "Dec 25, 2014", "$128,002,372"
"394", "Rocky IV (MGM/UA)", "/statistics/movies/rocky-iv-1985", "Nov 27, 1985", "$127,873,963"
"395", "Enchanted (Disney)", "/statistics/movies/enchanted-2007", "Nov 21, 2007", "$127,807,274"
"396", "The Curious Case of Benjamin Button (Paramount)", "/statistics/movies/the-curious-case-of-benjamin-button-2008", "Dec 25, 2008", "$127,509,575"
"397", "Anchorman 2: The Legend Continues (Paramount)", "/statistics/movies/anchorman-the-legend-continues-2013", "Dec 18, 2013", "$127,352,707"
"398", "Sweet Home Alabama (Disney)", "/statistics/movies/sweet-home-alabama-2002", "Sep 27, 2002", "$127,223,533"
"399", "Dumb and Dumber (New Line)", "/statistics/movies/dumb-and-dumber-1994", "Dec 16, 1994", "$127,175,036"
"400", "2 Fast 2 Furious (Universal)", "/statistics/movies/2-fast-2-furious-2003", "Jun 06, 2003", "$127,154,156"
"401", "My Best Friend's Wedding (Sony / TriStar)", "/statistics/movies/my-best-friend-s-wedding-1997", "Jun 20, 1997", "$127,120,017"
"402", "Super 8 (Paramount)", "/statistics/movies/super-8-2011", "Jun 09, 2011", "$127,004,179"
"403", "The World Is Not Enough (MGM)", "/statistics/movies/the-world-is-not-enough-1999", "Nov 19, 1999", "$126,943,347"
"404", "Smokey and the Bandit (Universal)", "/statistics/movies/smokey-and-the-bandit-1977", "May 27, 1977", "$126,737,978"
"405", "Sleepless in Seattle (TriStar)", "/statistics/movies/sleepless-in-seattle-1993", "Jun 25, 1993", "$126,680,160"
"406", "Lucy (Universal)", "/statistics/movies/lucy-2014", "Jul 25, 2014", "$126,663,600"
"407", "Bee Movie (Paramount / DreamWorks)", "/statistics/movies/bee-movie-2007", "Nov 02, 2007", "$126,631,177"
"408", "Prometheus (Fox)", "/statistics/movies/prometheus-2012", "Jun 08, 2012", "$126,477,084"
"409", "Mr. Deeds (Sony / Columbia)", "/statistics/movies/mr-deeds-2002", "Jun 28, 2002", "$126,293,861"
"410", "Safe House (Universal)", "/statistics/movies/safe-house-2012", "Feb 10, 2012", "$126,181,630"
"411", "The Truman Show (Paramount)", "/statistics/movies/the-truman-show-1998", "Jun 05, 1998", "$125,618,228"
"412", "Erin Brockovich (Universal)", "/statistics/movies/erin-brockovich-2000", "Mar 17, 2000", "$125,595,540"
"413", "Ocean's Twelve (Warner Bros.)", "/statistics/movies/ocean-s-twelve-2004", "Dec 10, 2004", "$125,544,296"
"414", "Terminator Salvation (Warner Bros.)", "/statistics/movies/terminator-salvation-2009", "May 21, 2009", "$125,322,732"
"415", "Charlie's Angels (Sony / Columbia)", "/statistics/movies/charlie-s-angels-2000", "Nov 03, 2000", "$125,305,200"
"416", "Tomorrow Never Dies (MGM/UA)", "/statistics/movies/tomorrow-never-dies-1997", "Dec 19, 1997", "$125,304,959"
"417", "Lone Survivor (Universal)", "/statistics/movies/lone-survivor-2013", "Dec 25, 2013", "$125,095,601"
"418", "Rocky III (MGM/UA)", "/statistics/movies/rocky-iii-1982", "May 28, 1982", "$125,049,038"
"419", "The Vow (Sony / Screen Gems)", "/statistics/movies/the-vow-2012", "Feb 10, 2012", "$125,014,030"
"420", "Life of Pi (Fox)", "/statistics/movies/life-of-pi-2012", "Nov 21, 2012", "$124,987,023"
"421", "The Fault in Our Stars (Fox)", "/statistics/movies/the-fault-in-our-stars-2014", "Jun 06, 2014", "$124,872,350"
"422", "Cloudy with a Chance of Meatballs (Sony / Columbia)", "/statistics/movies/cloudy-with-a-chance-of-meatballs-2009", "Sep 18, 2009", "$124,869,468"
"423", "The Devil Wears Prada (Fox)", "/statistics/movies/the-devil-wears-prada-2006", "Jun 30, 2006", "$124,740,659"
"424", "Something's Gotta Give (Sony / Columbia)", "/statistics/movies/something-s-gotta-give-2003", "Dec 12, 2003", "$124,728,615"
"425", "Traffic (USA Films)", "/statistics/movies/traffic-2000", "Dec 27, 2000", "$124,115,702"
"426", "The Birdcage (MGM/UA)", "/statistics/movies/the-birdcage-1996", "Mar 08, 1996", "$124,060,456"
"427", "City Slickers (Columbia)", "/statistics/movies/city-slickers-1991", "Jun 07, 1991", "$124,033,055"
"428", "Good Morning, Vietnam (Disney)", "/statistics/movies/good-morning-vietnam-1987", "Dec 23, 1987", "$123,922,029"
"429", "Nutty Professor II: The Klumps (Universal)", "/statistics/movies/the-nutty-professor-ii-the-klumps-2000", "Jul 28, 2000", "$123,309,442"
"430", "Rango (Paramount)", "/statistics/movies/rango-2011", "Mar 04, 2011", "$123,257,581"
"431", "G.I. Joe: Retaliation (Paramount)", "/statistics/movies/gi-joe-2-2012", "Mar 28, 2013", "$122,523,060"
"432", "Clear and Present Danger (Paramount)", "/statistics/movies/clear-and-present-danger-1994", "Aug 03, 1994", "$122,187,590"
"433", "The Hunt for Red October (Paramount)", "/statistics/movies/the-hunt-for-red-october-1990", "Mar 02, 1990", "$122,012,815"
"434", "The Bodyguard (Warner Bros.)", "/statistics/movies/the-bodyguard-1992", "Nov 25, 1992", "$121,945,613"
"435", "Wayne's World (Paramount)", "/statistics/movies/wayne-s-world-1992", "Feb 14, 1992", "$121,697,730"
"436", "The Bourne Identity (Universal)", "/statistics/movies/the-bourne-identity-2002", "Jun 14, 2002", "$121,661,607"
"437", "Superbad (Sony / Columbia)", "/statistics/movies/superbad-2007", "Aug 17, 2007", "$121,463,956"
"438", "Speed (Fox)", "/statistics/movies/speed-1994", "Jun 10, 1994", "$121,250,167"
"439", "50 First Dates (Sony / Columbia)", "/statistics/movies/50-first-dates-2004", "Feb 13, 2004", "$120,908,340"
"440", "Mulan (Disney)", "/statistics/movies/mulan-1998", "Jun 19, 1998", "$120,620,823"
"441", "Inglourious Basterds (Weinstein Company)", "/statistics/movies/inglourious-basterds-2009", "Aug 21, 2009", "$120,540,835"
"442", "Seabiscuit (Universal)", "/statistics/movies/seabiscuit-2003", "Jul 25, 2003", "$120,277,109"
"443", "Van Helsing (Universal)", "/statistics/movies/van-helsing-2004", "May 07, 2004", "$120,150,620"
"444", "Four Christmases (Warner Bros. / New Line)", "/statistics/movies/four-christmases-2008", "Nov 26, 2008", "$120,146,737"
"445", "I Now Pronounce You Chuck and Larry (Universal)", "/statistics/movies/i-now-pronounce-you-chuck-and-larry-2007", "Jul 20, 2007", "$120,059,537"
"446", "The Mask (New Line)", "/statistics/movies/the-mask-1994", "Jul 29, 1994", "$119,938,168"
"447", "Cloudy with a Chance of Meatballs 2 (Sony / Columbia)", "/statistics/movies/cloudy-2-revenge-of-the-leftovers-2013", "Sep 27, 2013", "$119,793,567"
"448", "Hook (TriStar)", "/statistics/movies/hook-1991", "Dec 11, 1991", "$119,654,006"
"449", "Walk the Line (Fox)", "/statistics/movies/walk-the-line-2005", "Nov 18, 2005", "$119,519,615"
